Type Object,Operator Code,Category,Name NL,Name FR,Streetname NL,Streetname FR,HouseNumber,PostalCode,Longitude,Latitude,Accessibility
mailbox,BPST,PBUS,RB-8570-003,RB-8570-003,Vichtsesteenweg,Vichtsesteenweg,115,8570,3.4457650,50.8484900,0
mailbox,BPST,PBUS,RB-5380-005,RB-5380-005,Rue De La Chapelle,Rue De La Chapelle,2,5380,5.0020880,50.5854460,0
mailbox,BPST,PBUS,RB-5000-082,RB-5000-082,Chaussée De Nivelles,Chaussée De Nivelles,339C,5020,4.7557200,50.4868310,0
postalpoint,PSTN,BPPE,Louis Delhaize Péronnes,Louis Delhaize Péronnes,Rue de la Place,Rue de la Place,,7640,3.4538650,50.5522230,0
mailbox,BPST,PBUS,RB-3080-005,RB-3080-005,Alfons Asselbergslaan,Alfons Asselbergslaan,28,3080,4.5020450,50.8211910,0
mailbox,BPST,PBUS,RB-2200-010,RB-2200-010,Lierseweg,Lierseweg,204,2200,4.8182460,51.1749480,0
postalpoint,PSTN,BPPE,Louis Delhaize Saintes,Louis Delhaize Saintes,Chaussée d'Enghien,Chaussée d'Enghien,,1480,4.1591452,50.7063821,0
mailbox,BPST,PBUS,RB-8000-097,RB-8000-097,Fortuinstraat,Fortuinstraat,2,8310,3.2535110,51.2093050,0
mailbox,BPST,PBUS,RB-6240-003,RB-6240-003,Rue Du Louat,Rue Du Louat,169,6240,4.5371480,50.4307680,0
postalpoint,GLS_,BPPE,Prink Ecaussines,Prink Ecaussines,RUE ARTHUR POUPLIER,RUE ARTHUR POUPLIER,81,7190,4.1542669,50.5621781,0
postalpoint,GLS_,BPPE,Vauban - Magasin d'Alimentation,Vauban - Magasin d'Alimentation,RUE VAUBAN,RUE VAUBAN,8,7500,3.3912212,50.6017304,0
postalpoint,GLS_,BPPE,Garage Claude Bal,Garage Claude Bal,BRUGSESTEENWEG,BRUGSESTEENWEG,121 B,8740,3.2395975,50.9898680,0
postalpoint,GLS_,BPPE,Ikhlas Supermarkt,Ikhlas Supermarkt,BRUSSELSESTEENWEG,BRUSSELSESTEENWEG,63,9050,3.7431875,51.0407775,0
postalpoint,PSTN,BPPE,Louis Delhaize Wavreille,Louis Delhaize Wavreille,Rue de rametenne,Rue de rametenne,,5580,5.2535900,50.1235500,0
